top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role
K'Sante,Mordekaiser,Gragas,Master Yi,Annie,Viktor,Kai'Sa,Ezreal,Zilean,Karma,-60.0,blue,0,2.0,1.0,5.0,0.0,-1.0,0.5,-1.83,top,Tank,top,Fighter,top,Fighter,jungle,Assassin,mid,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Support,support,Mage
Gangplank,Annie,Diana,Gragas,Qiyana,Viktor,Nilah,Aphelios,Thresh,Janna,-6903.0,red,2,0.0,1.0,-1.0,-2.75,-1.0,-7.75,-9.5,top,Fighter,mid,Mage,jungle,Fighter,top,Fighter,mid,Assassin,mid,Mage,adc,Fighter,adc,Marksman,support,Support,support,Support
Fiora,Vayne,Kayn,Rengar,Aurelion Sol,Vladimir,Jhin,Ezreal,Zilean,Soraka,-10387.0,red,-1,2.0,1.0,-0.9199999999999999,-5.25,-7.0,-8.5,-9.75,top,Fighter,top,Marksman,top,Fighter,top,Assassin,mid,Mage,top,Mage,adc,Marksman,adc,Marksman,mid,Support,support,Support
Irelia,Darius,Kayn,Bel'Veth,Malphite,Diana,Xayah,Sivir,Zyra,Senna,1352.0,red,-2,-1.0,1.0,-1.5,-1.67,0.5,4.33,4.0,top,Fighter,top,Fighter,top,Fighter,jungle,Fighter,top,Tank,jungle,Fighter,adc,Marksman,adc,Marksman,support,Mage,support,Marksman
Kayle,K'Sante,Graves,Kha'Zix,Aurelion Sol,Galio,Sivir,Jinx,Heimerdinger,Rakan,1946.0,red,-2,0.0,0.0,-3.75,-5.0,5.67,2.67,1.83,top,Fighter,top,Tank,jungle,Marksman,jungle,Assassin,mid,Mage,mid,Tank,adc,Marksman,adc,Marksman,support,Mage,support,Support
Mordekaiser,Soraka,Rengar,Graves,Lux,Cassiopeia,Twitch,Varus,Karma,Illaoi,7381.0,blue,-1,0.0,0.0,0.33000000000000007,6.5,5.0,3.67,1.0,top,Fighter,support,Support,top,Assassin,jungle,Marksman,mid,Mage,top,Mage,adc,Marksman,mid,Marksman,support,Mage,top,Fighter
Mordekaiser,Irelia,Nidalee,Poppy,Orianna,Zed,Vayne,Kai'Sa,Lulu,Zyra,-2885.0,red,-2,1.0,0.0,-3.0,-4.0,2.67,1.0,-1.0,top,Fighter,top,Fighter,jungle,Assassin,top,Tank,mid,Mage,top,Assassin,top,Marksman,adc,Marksman,support,Support,support,Mage
K'Sante,Vladimir,Lillia,Rengar,Sylas,Pantheon,Xayah,Jhin,Janna,Rakan,-8691.0,red,-2,0.0,1.0,-6.0,-9.0,-6.25,-3.5,-1.5,top,Tank,top,Mage,jungle,Fighter,top,Assassin,top,Mage,top,Fighter,adc,Marksman,adc,Marksman,support,Support,support,Support
Kled,Aatrox,Evelynn,Master Yi,Pantheon,Syndra,Caitlyn,Ashe,Karma,Thresh,1131.0,red,0,2.0,-1.0,3.67,0.33000000000000007,4.0,-2.0,-6.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,top,Fighter,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support
Warwick,Jax,Nidalee,Vi,Irelia,Xin Zhao,Ezreal,Jinx,Thresh,Maokai,3678.0,blue,2,1.0,0.0,4.0,3.0,1.1,0.16999999999999993,2.67,top,Fighter,top,Fighter,jungle,Assassin,jungle,Fighter,top,Fighter,jungle,Fighter,adc,Marksman,adc,Marksman,support,Support,top,Tank
