,sequence_number,gold_difference,team_win,herald_difference,dragon_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
729,730,3170.0,0,2,2.0,-1.0,-0.5,1.0,3.0,3.5,2.0,0.0
730,731,2251.0,0,-2,1.0,1.5,6.4,1.0,2.0,1.0,2.0,-1.0
731,732,-7021.0,0,0,1.0,-2.0,2.0,-2.0,-1.0,-0.3399999999999998,0.0,2.0
732,733,3896.0,1,2,0.0,-4.0,1.67,4.8,3.5,0.5,-1.0,-2.0
733,734,5486.0,1,2,1.0,3.0,2.0,0.0,4.0,4.0,0.0,-1.0
734,735,-7451.0,0,0,2.0,-2.0,-3.67,-4.33,-4.33,-3.0,2.0,-1.0
735,736,-6328.0,0,0,-1.0,-1.0,-2.0,-1.0,-6.0,-2.0,2.0,1.0
736,737,795.0,0,0,2.0,3.33,-1.5,-2.8,5.75,-0.6699999999999999,0.0,-2.0
737,738,-452.0,0,0,2.0,3.5,2.5,-2.0,-3.5,2.0,0.0,-1.0
738,739,-1535.0,0,0,-1.0,1.0,-1.0,-2.2,4.0,4.75,-1.0,0.0
739,740,6913.0,1,0,2.0,4.75,1.5,1.17,8.75,4.25,1.0,0.0
740,741,-3395.0,0,0,0.0,-1.5,0.2000000000000001,-5.0,0.0,-5.3,0.0,1.0
741,742,-9581.0,0,-1,2.0,-1.27,-9.0,-3.5,-5.8,-7.5,1.0,1.0
742,743,4602.0,0,2,0.0,1.0,7.0,1.33,1.8,1.67,0.0,0.0
743,744,551.0,1,0,-2.0,-1.5,2.83,-4.5,2.53,1.25,1.0,0.0
744,745,7231.0,1,2,-1.0,-0.5,4.0,2.17,3.0,6.0,2.0,0.0
745,746,-3361.0,0,2,2.0,-1.5,-1.83,-7.25,-1.92,-9.5,1.0,0.0
746,747,6549.0,1,0,-1.0,-1.5,11.0,2.67,0.5800000000000001,-2.0,-1.0,0.0
747,748,-4484.0,1,2,1.0,3.5,0.1699999999999999,-3.5,1.83,-9.5,0.0,-1.0
748,749,-11893.0,0,-2,2.0,-2.5,-2.4,-2.42,-3.0,-1.0,-1.0,0.0
749,750,-2501.0,0,-2,-1.0,0.33,3.83,1.0,0.6699999999999999,0.4199999999999999,0.0,0.0
750,751,-3121.0,0,0,2.0,4.0,-1.5,2.0,-2.17,-2.5,1.0,1.0
751,752,1451.0,1,0,1.0,-1.0,3.0,5.6,-1.5,2.0,1.0,1.0
752,753,-2116.0,0,0,0.0,3.33,-2.0,-3.25,-8.0,-1.75,0.0,1.0
753,754,5517.0,0,0,-2.0,-1.0,9.0,8.33,7.75,12.0,-1.0,2.0
754,755,9628.0,1,2,-1.0,5.0,5.0,2.0,7.5,4.67,3.0,1.0
755,756,3167.0,1,2,0.0,0.5,6.2,-0.6699999999999999,6.0,1.75,1.0,3.0
756,757,3213.0,1,2,-2.0,2.6,2.25,5.0,-0.7,-2.2,-1.0,-2.0
757,758,6766.0,1,2,0.0,0.33,3.5,2.67,1.0,0.0,1.0,0.0
758,759,-454.0,0,0,1.0,7.0,2.0,0.0,-4.25,-1.13,1.0,-2.0
759,760,3038.0,1,0,-1.0,0.0,2.34,2.0,4.5,4.5,-1.0,1.0
760,761,-4407.0,0,-2,1.0,-2.5,-1.0,-1.57,-1.83,-1.83,0.0,0.0
761,762,8138.0,1,2,1.0,-1.0,-0.33,7.4,0.8999999999999999,0.4000000000000001,2.0,-1.0
762,763,-181.0,0,2,1.0,4.5,-3.0,-1.0,-3.33,-3.0,0.0,1.0
763,764,-4943.0,0,0,0.0,-2.5,0.08,-1.5,-1.17,-7.0,-1.0,1.0
764,765,-5907.0,0,1,2.0,-4.0,-6.33,-0.6699999999999999,0.0,-1.0,0.0,-1.0
765,766,-3266.0,0,0,0.0,2.17,-2.0,-2.17,-1.0,2.0,1.0,-1.0
766,767,5000.0,1,2,-2.0,8.5,3.33,2.67,-2.5,5.2,0.0,0.0
767,768,-11664.0,0,-1,1.0,-7.83,-5.0,-2.83,-7.8,-10.2,0.0,-1.0
768,769,-625.0,0,0,-1.0,4.5,4.67,-0.5,-5.75,-0.5,-1.0,0.0
769,770,5109.0,1,-2,-1.0,0.3299999999999999,5.67,2.33,3.33,3.25,-1.0,0.0
770,771,-8858.0,0,-1,1.0,0.0,-1.5,-4.0,-4.0,-4.0,0.0,1.0
771,772,-953.0,0,2,0.0,3.0,-1.0,-3.0,4.0,-2.5,-1.0,0.0
772,773,2278.0,1,2,2.0,-1.33,-1.5,2.0,0.6699999999999999,-0.75,-1.0,0.0
773,774,2751.0,1,2,0.0,3.67,-1.0,2.0,-3.75,0.5,0.0,0.0
