,Unnamed: 0,link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
5436,6889,/match/na/4639987845,Camille,Pantheon,Hecarim,Master Yi,Katarina,Ahri,Jhin,Kai'Sa,Xerath,Annie,1.5,1.0,8.0,0.5,3.5,0.33,5.5,0.5,10.0,0.2,8673.0,0.0,1.0,0.0,1.0,1,1,blue
6602,1284,/match/ru/439653663,Malphite,Camille,Viego,Fiddlesticks,Vex,Yasuo,Jinx,Miss Fortune,Thresh,Nami,2.5,0.33,7.0,4.0,6.0,0.2,0.8,2.0,4.0,6.0,2870.0,0.0,1.0,1.0,1.0,1,1,blue
7498,3683,/match/euw/6383371111,Cho'Gath,Garen,Poppy,Nunu & Willump,Xerath,Ziggs,Tristana,Xayah,Thresh,Karma,1.17,0.83,1.2,7.0,5.0,0.67,0.6,4.5,3.33,3.0,-5169.0,3.0,0.0,2.0,0.0,0,1,red
5744,9863,/match/kr/6478486181,K'Sante,Talon,Viego,Wukong,Ahri,Ekko,Zeri,Jinx,Thresh,Nautilus,0.67,7.0,0.5,3.0,1.0,5.0,2.0,2.5,1.5,3.0,-6610.0,1.0,0.0,1.0,1.0,0,2,red
5520,5596,/match/lan/1381719448,Shen,Sion,Hecarim,Sejuani,Sylas,Ekko,Kai'Sa,Aphelios,Renata Glasc,Karma,0.83,2.0,2.0,2.5,2.5,3.0,1.5,4.0,2.0,4.0,-9484.0,1.0,0.0,0.0,1.0,0,2,red
7871,736,/match/ph/10960715,Lee Sin,Illaoi,Riven,Sejuani,Vladimir,Veigar,Xayah,Jhin,Lux,Milio,4.0,1.0,0.5,3.0,4.0,1.0,0.33,6.0,0.33,5.0,-2104.0,1.0,0.0,0.0,1.0,2,0,red
7807,5076,/match/lan/1384163710,Yone,Riven,Diana,Gragas,Syndra,Ahri,Vayne,Jhin,Milio,Nautilus,1.29,4.0,3.0,4.0,1.5,2.0,0.67,1.5,2.0,7.0,-2537.0,1.0,0.0,1.0,1.0,1,1,blue
3625,7824,/match/vn/82254059,Darius,Sett,Sylas,Vi,Zed,Xerath,Zeri,Caitlyn,Swain,Yuumi,9.0,0.14,3.5,1.4,0.67,8.0,3.0,3.0,2.0,4.0,4996.0,0.0,1.0,0.0,1.0,1,1,blue
4941,8877,/match/eune/3356256310,Gragas,Poppy,Warwick,Kha'Zix,Sylas,Vex,Jinx,Zeri,Milio,Zyra,1.33,2.0,2.0,6.0,7.0,0.67,0.75,2.0,1.0,1.5,-3966.0,0.0,0.0,0.0,0.0,1,0,blue
2825,7620,/match/vn/82566537,Olaf,Fiora,Kha'Zix,Sylas,Akali,Cassiopeia,Jinx,Xayah,Nautilus,Jarvan IV,1.0,1.67,2.25,2.8,9.0,0.4,5.33,2.25,1.8,1.67,2867.0,1.0,1.0,1.0,0.0,2,0,blue
