gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
3880.0,1,2,-2.0,0.0,-2.0,7.5,3.1,6.5,3.75,0.0,0.0,0.8099999999999952
-4640.0,0,-2,1.0,1.0,1.5,-6.5,-2.75,-0.6699999999999999,-6.67,1.0,-1.0,5.210000000000015
1029.0,0,2,-2.0,-3.0,-1.0,-4.83,-2.0,-7.75,-1.75,-1.0,1.0,-9.589999999999977
4608.0,1,1,-2.0,-1.0,0.1999999999999999,2.67,-0.6600000000000001,-3.33,-3.0,0.0,-1.0,-15.06000000000001
5159.0,1,2,-2.0,-1.0,1.5,2.0,2.0,3.5,5.5,0.0,0.0,15.81999999999998
2586.0,1,2,-1.0,0.0,-0.5,-0.5,1.5,4.5,-1.0,0.0,1.0,-43.26999999999998
-9598.0,0,0,0.0,0.0,-7.0,-7.25,-1.83,-2.0,-4.0,1.0,1.0,-16.059999999999974
-12622.0,0,-1,2.0,3.0,0.5,-6.0,-0.8,-10.8,-1.0,-1.0,1.0,31.179999999999996
1129.0,1,0,-1.0,1.0,6.0,-4.0,0.75,-3.25,-0.3,0.0,-1.0,-26.230000000000015
-5903.0,0,-2,0.0,1.0,4.75,-0.5,0.0,-5.75,-7.0,1.0,0.0,-2.500000000000007
-2695.0,1,-2,0.0,1.0,-1.0,4.5,0.33,-2.0,-1.2,0.0,0.0,8.769999999999989
-1804.0,1,1,0.0,-1.0,0.25,-3.0,1.5,-2.5,-1.83,-1.0,-1.0,-8.999999999999979
186.0,1,2,1.0,0.0,-1.0,1.0,-1.0,-3.67,0.0,-1.0,1.0,-2.169999999999966
-798.0,0,0,2.0,0.0,2.16,6.0,4.33,-8.0,-6.5,0.0,0.0,1.799999999999983
-4990.0,0,0,2.0,1.0,0.5,1.0,-2.5,-8.0,-9.0,-2.0,0.0,6.63000000000001
6554.0,1,2,1.0,-1.0,3.0,5.5,1.0,-2.67,0.6699999999999999,-1.0,0.0,3.4499999999999744
-8078.0,0,-1,2.0,1.0,3.0,0.75,0.4199999999999999,-6.4,-9.0,-1.0,2.0,8.430000000000007
-2870.0,0,2,0.0,-1.0,0.0,2.0,-2.67,-1.67,-2.83,-3.0,-1.0,-5.830000000000005
-12031.0,0,-2,0.0,5.0,-9.6,-6.6,-5.6,-2.67,-7.0,2.0,0.0,-8.919999999999987
-2683.0,0,2,2.0,0.0,-1.0,2.0,-1.0,2.67,-0.5,-3.0,-1.0,-13.699999999999996
4245.0,1,2,-1.0,-1.0,-1.0,4.0,-0.5,2.5,2.17,0.0,0.0,-5.75
320.0,0,-2,-1.0,0.0,3.67,1.33,-1.5,-4.0,-0.25,-3.0,-2.0,-44.47000000000003
1199.0,0,0,2.0,0.0,0.0,1.0,2.0,0.5,0.5,0.0,1.0,9.500000000000009
-265.0,0,-2,0.0,-1.0,2.75,1.0,-2.5,-8.25,-7.0,5.0,0.0,50.46000000000004
-2115.0,0,1,2.0,1.0,3.0,-7.0,1.17,-6.5,-8.0,0.0,0.0,-19.859999999999985
2549.0,0,0,1.0,-1.0,1.0,5.5,3.67,2.0,3.5,1.0,0.0,-37.68
3790.0,1,0,0.0,0.0,4.4,8.25,-4.0,5.0,2.42,-1.0,0.0,-1.0600000000000094
12024.0,1,1,0.0,-3.0,5.45,9.8,2.33,10.43,10.0,1.0,0.0,30.96000000000004
-4194.0,0,-2,1.0,1.0,-3.0,-2.0,1.0,-2.8,-2.17,-3.0,0.0,7.770000000000003
319.0,0,-2,1.0,0.0,-1.33,-3.5,-1.0,-1.0,1.0,0.0,-1.0,-10.88000000000001
7219.0,1,1,-1.0,0.0,3.5,3.5,7.0,2.5,7.67,1.0,0.0,44.99
-2682.0,0,0,1.0,2.0,-3.75,-3.33,1.0,4.2,3.5,-1.0,1.0,-39.340000000000025
-431.0,1,0,-1.0,0.0,-0.1699999999999999,4.0,-5.0,-2.2,-1.73,1.0,-1.0,14.089999999999977
-847.0,1,0,-1.0,-1.0,-2.0,-3.5,-1.0,-3.0,-3.0,1.0,-1.0,3.6200000000000183
-6366.0,0,-1,1.0,2.0,-1.0,-3.67,-9.0,-2.0,-6.6,-2.0,-1.0,-3.8000000000000256
487.0,1,0,2.0,0.0,-0.5,-0.25,-1.33,-0.6699999999999999,3.0,-2.0,0.0,-54.180000000000014
2799.0,1,1,1.0,0.0,3.6,11.67,2.7,-3.33,-0.6000000000000001,-1.0,0.0,-18.929999999999986
8415.0,1,-1,-2.0,-1.0,2.5,3.0,2.5,5.8,5.0,2.0,0.0,2.3099999999999667
3439.0,1,0,-1.0,0.0,0.25,2.75,11.0,3.0,11.0,1.0,0.0,-24.359999999999985
-5430.0,0,-2,1.0,1.0,-2.67,3.33,2.0,-5.0,-5.67,-2.0,1.0,-20.43
1392.0,1,0,1.0,0.0,-4.4,1.0,8.0,-0.92,2.0,-1.0,0.0,1.9699999999999989
6296.0,1,0,0.0,-1.0,1.0,2.0,2.0,3.5,9.0,0.0,-1.0,5.75
2434.0,1,0,-2.0,0.0,-1.0,1.0,-0.5,4.33,4.0,-1.0,-1.0,5.939999999999984
1978.0,1,2,1.0,-1.0,-1.2,4.5,4.5,0.4199999999999999,0.5,0.0,-1.0,13.500000000000009
3039.0,0,2,2.0,0.0,1.2,2.17,2.33,1.0,-2.0,0.0,1.0,7.0
6093.0,1,-1,-2.0,-1.0,-3.0,-1.0,1.5,9.0,9.0,0.0,0.0,26.97000000000005
-11263.0,0,-2,2.0,2.0,-8.33,-11.0,-2.33,-5.67,-7.67,0.0,0.0,-166.88000000000002
-8285.0,0,-1,1.0,2.0,-3.0,-1.5,-2.0,-1.83,-2.33,2.0,0.0,6.560000000000002
1798.0,0,2,2.0,0.0,-0.5,1.0,3.0,0.4,4.0,1.0,1.0,5.079999999999984
-1712.0,0,1,2.0,1.0,-0.83,0.0,6.25,-4.0,-6.6,0.0,0.0,9.550000000000011
701.0,1,0,1.0,0.0,1.0,0.6699999999999999,-1.5,-0.75,-0.5300000000000002,-1.0,-1.0,4.909999999999982
18.0,0,0,2.0,-1.0,-1.33,-3.5,1.5,-4.75,-0.08,2.0,1.0,-11.350000000000009
-3763.0,0,-2,1.0,0.0,-3.0,-6.0,-2.0,-1.67,-5.0,-1.0,0.0,17.569999999999986
754.0,1,1,1.0,0.0,-1.0,-3.5,-2.33,1.0,3.0,0.0,0.0,43.43
939.0,1,0,-1.0,1.0,1.0,1.5,1.67,5.75,1.0,0.0,-1.0,4.70000000000001
-2273.0,1,-2,0.0,0.0,2.33,-1.25,-6.0,0.0,-2.0,1.0,1.0,4.670000000000016
4018.0,1,0,0.0,-1.0,2.67,9.0,3.0,4.75,2.42,0.0,0.0,3.3400000000000105
-2528.0,0,1,1.0,0.0,1.5,-3.0,2.0,-2.67,-4.0,-1.0,1.0,13.150000000000006
545.0,0,-2,0.0,0.0,-0.75,1.67,-0.6699999999999999,2.0,3.5,0.0,0.0,-8.179999999999993
1960.0,0,-2,-1.0,0.0,0.5,-1.0,4.0,2.0,-2.5,2.0,-1.0,-16.13999999999998
-1969.0,1,2,0.0,0.0,-2.5,-7.75,-0.75,0.6699999999999999,2.5,-1.0,0.0,2.920000000000023
-413.0,1,-2,2.0,1.0,-1.9,1.0,-4.0,5.1,10.67,0.0,0.0,-1.17000000000003
-9189.0,0,0,1.0,1.0,-6.0,-0.5,-4.75,-7.0,-1.25,0.0,0.0,29.22999999999999
-4705.0,0,-2,0.0,1.0,-0.5,-1.0,-4.0,-3.83,-7.5,1.0,-1.0,-4.489999999999981
-2348.0,0,-2,2.0,2.0,-2.33,-1.5,2.0,1.0,4.0,0.0,1.0,-11.479999999999984
5556.0,1,-1,-2.0,0.0,0.0,10.0,1.0,4.5,10.5,-1.0,1.0,-3.940000000000033
2024.0,0,0,1.0,0.0,2.0,-1.0,5.75,2.75,5.0,1.0,2.0,-5.469999999999963
6891.0,1,0,-2.0,-1.0,-0.66,6.5,10.6,5.0,8.25,1.0,1.0,8.479999999999997
196.0,0,-2,1.0,0.0,-3.0,-2.5,-1.25,5.0,7.33,1.0,1.0,-7.28000000000003
9770.0,1,2,-2.0,-1.0,1.5,0.5,2.0,9.83,8.67,2.0,0.0,41.750000000000014
-3021.0,0,-2,-1.0,1.0,2.5,-0.25,-0.5,0.5,-0.5,1.0,1.0,9.429999999999964
9184.0,1,1,-1.0,-1.0,1.25,2.05,5.0,6.0,12.38,-2.0,-1.0,5.410000000000004
-9581.0,0,-2,1.0,2.0,-4.6,-3.47,-3.75,-2.17,-4.88,2.0,0.0,-8.090000000000039
7437.0,1,2,-1.0,-1.0,4.67,4.7,2.0,2.5,2.0,0.0,1.0,4.47000000000002
2309.0,1,2,1.0,0.0,1.8,-2.25,1.5,-5.0,-0.5,1.0,1.0,-1.75
-6450.0,0,-2,2.0,0.0,-2.0,-4.0,-2.0,-1.67,-3.25,1.0,0.0,-18.53
-5439.0,0,-2,0.0,1.0,-3.0,-1.67,-8.86,0.0,0.6699999999999999,-3.0,1.0,17.83
1350.0,1,0,0.0,1.0,-7.0,-2.0,3.0,3.25,7.0,0.0,0.0,-20.14000000000004
-5533.0,0,-1,2.0,0.0,-0.5,-2.0,-1.0,-5.0,-5.0,-1.0,-1.0,-12.710000000000017
5752.0,1,1,-1.0,-1.0,2.1,1.0,1.67,2.0,5.5,-1.0,0.0,5.349999999999994
5161.0,1,0,0.0,0.0,-1.0,3.0,0.5800000000000001,2.75,5.0,2.0,0.0,11.43000000000002
-2669.0,0,0,1.0,1.0,-0.5,-2.0,0.5,-0.75,-2.83,0.0,-1.0,-14.919999999999987
-419.0,0,1,1.0,-1.0,0.0,-3.0,-2.33,1.0,2.33,1.0,0.0,1.000000000000007
2811.0,1,0,-1.0,0.0,0.25,0.33,3.75,7.25,1.5,1.0,2.0,-4.670000000000016
