link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/oce/568075961,Vayne,Poppy,Maokai,Viego,Qiyana,Syndra,Ziggs,Aphelios,Rakan,Janna,1.0,0.5,6.0,1.0,5.0,4.0,2.0,5.0,1.0,2.0,4729.0,0.0,3.0,1.0,0.0,1,0,blue
/match/oce/568071783,Gangplank,Tryndamere,Lillia,Vi,Yone,Zoe,Aphelios,Jinx,Morgana,Lulu,5.0,0.0,9.0,2.0,1.5,2.0,2.5,1.33,3.5,1.33,4831.0,1.0,1.0,0.0,2.0,0,1,blue
/match/oce/568066639,Renekton,Malphite,Rengar,Kha'Zix,Katarina,Gragas,Zeri,Varus,Annie,Renata Glasc,4.0,0.33,8.0,0.0,14.0,0.0,12.0,0.14,11.0,0.2,13167.0,0.0,2.0,0.0,1.0,2,0,blue
/match/oce/568064800,Malphite,Sylas,Pantheon,Yone,Akali,Yasuo,Ezreal,Sejuani,Sona,Rell,15.0,0.67,3.67,1.0,16.0,0.29,3.0,0.83,6.0,0.71,12477.0,0.0,1.0,0.0,2.0,0,1,blue
/match/oce/568062597,Malphite,Kled,Rengar,Kha'Zix,Yasuo,Sylas,Varus,Jinx,Sona,Rakan,1.0,1.0,0.33,9.0,0.4,3.5,0.33,4.0,2.0,5.0,-3018.0,0.0,0.0,1.0,1.0,0,2,red
/match/oce/568096664,Malphite,Anivia,Lillia,Jax,Qiyana,Sion,Tristana,Twitch,Bard,Seraphine,0.33,2.0,2.33,1.0,4.0,2.0,7.0,1.0,11.0,0.33,310.0,1.0,0.0,0.0,1.0,0,2,blue
/match/oce/568092953,Mordekaiser,Illaoi,Zilean,Talon,Ahri,Ekko,Jinx,Kai'Sa,Nocturne,Janna,4.0,0.0,0.0,7.0,0.33,7.0,0.0,5.0,0.75,10.0,-8129.0,0.0,0.0,1.0,1.0,0,2,red
/match/oce/568089395,Shen,Nasus,Kindred,Jarvan IV,Vladimir,Ahri,Ezreal,Caitlyn,Zilean,Shaco,4.0,1.0,0.83,1.4,4.5,0.75,0.33,5.0,0.5,7.0,-4630.0,1.0,0.0,1.0,0.0,1,1,blue
/match/oce/568084372,Volibear,Fiora,Ekko,Karthus,LeBlanc,Galio,Jinx,Ashe,Milio,Soraka,0.0,1.0,4.0,1.5,4.0,2.0,4.0,2.0,5.0,1.0,4775.0,0.0,1.0,1.0,1.0,2,0,blue
/match/oce/568080722,Katarina,Olaf,Jarvan IV,Pantheon,Vayne,Akali,Aphelios,Ziggs,Miss Fortune,Blitzcrank,3.0,4.0,3.0,4.5,1.0,1.0,1.0,1.75,0.86,3.33,-4176.0,3.0,0.0,0.0,1.0,1,1,blue
