link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,KDA_blue,KDA_red,Blue_Heralds_killed,Red_Heralds_killed,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red
/match/las/1290391825,Gwen,Sion,Gragas,Diana,Zed,Akshan,Xayah,Ezreal,Thresh,Pyke,-2936.0,-3.0,-1.0,33 / 46 / 52,46 / 33 / 56,1,1,red,3.0,0.0,2.5,2.75,1.4,4.0,1.25,1.75,1.4,7.0
/match/las/1290386355,Gangplank,Dr. Mundo,Evelynn,Udyr,Katarina,Ekko,Xayah,Jhin,Lux,Karma,-2025.0,0.0,0.0,26 / 40 / 30,40 / 26 / 53,1,1,red,4.0,2.0,1.0,9.0,0.67,7.0,0.8,0.75,1.25,3.33
/match/las/1290375723,Swain,Yone,Hecarim,Talon,Vladimir,Vel'Koz,Jinx,Ezreal,Lulu,Rakan,-12560.0,-4.0,-2.0,12 / 37 / 23,37 / 12 / 49,0,2,red,0.0,3.0,0.5,9.0,0.25,7.0,1.0,4.0,0.67,11.0
/match/las/1290378007,Mordekaiser,Yasuo,Katarina,Kayn,Lee Sin,Orianna,Kai'Sa,Xayah,Pyke,Lux,-4158.0,-4.0,-1.0,28 / 37 / 31,37 / 28 / 44,1,1,red,0.5,2.0,1.5,4.0,1.75,7.0,1.4,1.5,4.0,3.33
/match/las/1290347562,Fiora,Kled,Rengar,Ekko,Kassadin,Pantheon,Kai'Sa,Ezreal,Thresh,Heimerdinger,-3771.0,-3.0,-2.0,35 / 28 / 49,28 / 35 / 40,0,2,blue,1.33,1.0,2.0,3.5,1.33,4.0,1.0,7.0,1.5,9.0
/match/las/1290334173,Fiora,Mordekaiser,Zed,Graves,Anivia,Irelia,Aphelios,Ezreal,Lux,Thresh,-1364.0,1.0,0.0,21 / 32 / 20,32 / 21 / 45,0,2,red,2.33,0.5,3.0,10.0,1.2,1.5,1.25,1.67,3.0,4.0
/match/las/1290334133,Gwen,Aatrox,Kha'Zix,Viego,Irelia,Vex,Zeri,Kai'Sa,Lulu,Seraphine,2149.0,-1.0,-1.0,26 / 33 / 34,33 / 26 / 59,1,1,red,14.0,0.57,2.33,3.33,1.11,3.0,3.33,1.5,5.5,1.5
/match/las/1290316716,Tristana,Draven,Hecarim,Irelia,LeBlanc,Vladimir,Bard,Blitzcrank,Renekton,Jarvan IV,9377.0,4.0,-1.0,51 / 18 / 77,17 / 51 / 23,1,0,blue,7.0,1.0,6.67,1.0,8.0,0.43,9.0,0.33,2.0,1.0
/match/las/1290298062,Fiora,Poppy,Volibear,Wukong,Anivia,Irelia,Ezreal,Yasuo,Nautilus,Karma,-4541.0,-5.0,0.0,28 / 37 / 41,37 / 28 / 51,1,1,red,0.62,4.33,8.5,1.0,3.67,1.25,1.8,1.67,1.0,3.33
/match/las/1290282888,Jax,Sett,Ekko,Evelynn,Akali,Sylas,Caitlyn,Ezreal,Milio,Rakan,6175.0,4.0,0.0,29 / 23 / 48,23 / 29 / 30,2,0,blue,0.5,1.33,9.0,3.0,1.5,1.33,6.0,2.0,1.0,1.0
