gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
-11238.0,0,-1,1.0,2.0,-4.75,-9.67,-5.75,-2.5,-3.0,2.0,-1.0
1363.0,1,2,-2.0,-1.0,-2.33,-1.17,2.5,4.0,1.67,3.0,0.0
-3164.0,0,-1,2.0,0.0,-4.0,-1.17,1.83,-5.0,-7.4,-1.0,1.0
-1816.0,1,0,0.0,1.0,2.1,-2.5,4.0,-6.75,-3.5,2.0,1.0
1729.0,1,2,-1.0,0.0,-3.75,3.0,4.0,3.0,2.0,0.0,0.0
3295.0,0,2,-2.0,-1.0,0.25,3.0,2.0,2.67,1.0,0.0,-1.0
-231.0,0,-2,1.0,1.0,-4.75,-0.33,8.0,0.0,6.0,-3.0,-1.0
200.0,0,-2,-1.0,2.0,-1.17,0.0,-0.47,10.33,10.67,0.0,0.0
-3382.0,1,-2,2.0,1.0,-1.0,-4.0,-2.0,-2.0,-3.0,-1.0,0.0
-2634.0,0,-2,-1.0,0.0,-2.67,0.0,-5.0,-0.33,-2.33,0.0,0.0
3687.0,1,0,-1.0,0.0,2.0,8.0,0.92,1.0,5.75,-2.0,0.0
-5378.0,0,-2,-1.0,0.0,1.0,-0.7999999999999998,-2.67,-4.0,-2.25,3.0,1.0
-697.0,0,-2,-1.0,0.0,-2.67,2.0,1.0,2.5,3.5,1.0,2.0
-4023.0,0,-2,2.0,1.0,-5.0,-2.5,0.0,-3.0,-3.0,2.0,-1.0
972.0,1,-1,-1.0,2.0,-1.5,-0.5,-4.0,0.5,4.33,-2.0,0.0
10189.0,1,1,-1.0,-1.0,0.0,8.5,4.0,0.5,1.0,0.0,-1.0
-2985.0,0,-2,2.0,2.0,-2.5,0.8300000000000001,4.0,5.33,6.0,0.0,1.0
-4660.0,0,-1,2.0,1.0,1.0,-4.0,-7.33,0.0,-0.5,1.0,-1.0
-14339.0,0,-1,1.0,4.0,-1.75,-8.83,-3.5,-4.25,-5.4,1.0,-1.0
2613.0,0,2,-1.0,0.0,0.0,4.25,0.83,2.0,-0.5,-1.0,-1.0
6385.0,1,0,2.0,0.0,3.8,8.0,0.0,3.0,7.0,0.0,0.0
-7177.0,0,0,1.0,1.0,-2.0,-2.53,-8.0,-6.5,-1.25,1.0,2.0
-4834.0,0,2,2.0,1.0,0.5800000000000001,-8.0,-6.0,-3.4,-0.25,-2.0,1.0
1538.0,0,2,-2.0,0.0,0.0,2.0,2.5,1.67,-3.5,2.0,-1.0
-4309.0,0,0,1.0,2.0,-5.0,-3.33,-3.0,5.8,1.55,1.0,0.0
-363.0,0,2,2.0,0.0,4.0,3.0,-1.0,-4.33,-1.0,2.0,-1.0
1954.0,1,2,-1.0,0.0,3.0,5.0,1.5,-1.0,-3.5,-1.0,-2.0
13201.0,1,1,-2.0,-1.0,7.0,12.71,6.8,5.5,10.0,1.0,1.0
-63.0,1,-1,1.0,0.0,3.5,-1.0,-5.0,2.0,0.5,0.0,0.0
-1000.0,1,2,-1.0,0.0,-3.33,-3.0,0.5,-3.0,-3.0,0.0,-1.0
-1322.0,1,-2,0.0,1.0,-4.0,1.0,-0.5,7.75,7.5,0.0,-1.0
-4891.0,0,0,1.0,0.0,-5.0,-2.5,-1.0,-5.25,-1.0,0.0,1.0
-1083.0,0,-1,1.0,0.0,-1.67,0.5,-1.33,3.5,-4.0,-1.0,-1.0
4950.0,1,-1,-1.0,1.0,6.75,9.0,4.4,9.25,-0.33,-3.0,1.0
-4425.0,0,0,-1.0,0.0,-6.8,2.5,-2.25,1.0,4.0,1.0,1.0
-1174.0,1,0,-1.0,1.0,0.0,-1.08,2.0,-0.5,-2.25,1.0,2.0
4867.0,1,2,-2.0,-2.0,-1.0,-0.92,-5.0,7.67,2.0,-1.0,0.0
3524.0,1,2,1.0,0.0,0.33,-0.5,0.0,4.0,4.0,-2.0,0.0
-5538.0,0,2,1.0,1.0,-1.08,1.33,3.0,0.0,-3.6,0.0,2.0
-7124.0,0,0,1.0,0.0,-3.83,-6.4,-4.67,2.0,1.0,1.0,1.0
-240.0,1,0,1.0,1.0,-1.33,-0.6699999999999999,-3.5,-1.8,1.0,-3.0,0.0
4970.0,0,2,-1.0,0.0,5.75,2.5,1.0,1.0,5.67,1.0,1.0
-209.0,1,-1,-1.0,0.0,-3.0,3.5,-1.75,-2.0,-3.9,3.0,1.0
-3413.0,1,2,-1.0,0.0,0.0,1.67,0.0,0.1699999999999999,-7.67,1.0,-1.0
-1165.0,0,0,0.0,0.0,-2.67,-4.75,1.5,0.92,4.5,2.0,1.0
-181.0,0,2,1.0,0.0,4.5,-3.0,-1.0,-3.33,-3.0,0.0,1.0
154.0,1,0,-1.0,0.0,4.0,8.0,4.33,0.8300000000000001,-0.4199999999999999,-1.0,1.0
3237.0,1,2,-1.0,-1.0,-1.5,2.0,-1.33,1.0,4.0,-1.0,1.0
-5533.0,0,-2,0.0,0.0,-4.0,-6.0,-4.0,-3.0,-2.0,0.0,-1.0
-255.0,0,0,-1.0,1.0,9.75,3.27,-0.5,0.4499999999999999,0.5,2.0,1.0
1310.0,1,-2,-1.0,0.0,-3.0,10.33,1.0,1.9,2.92,1.0,1.0
853.0,1,-1,1.0,0.0,-1.5,0.75,1.0,3.25,1.55,3.0,-1.0
1140.0,0,2,1.0,-2.0,0.83,-4.0,-6.67,-0.47,-2.5,-1.0,0.0
-3835.0,1,2,1.0,1.0,2.0,-2.5,1.0,-4.0,-4.5,0.0,0.0
-710.0,0,-1,0.0,0.0,-6.67,-4.9,0.5,7.67,3.9,-2.0,-1.0
-1797.0,1,2,1.0,-1.0,1.75,-1.5,0.0,-4.67,-3.0,0.0,0.0
4614.0,1,2,1.0,0.0,0.83,1.0,-1.0,0.5,2.67,2.0,0.0
-1535.0,0,0,-1.0,0.0,1.0,-1.0,-2.2,4.0,4.75,-1.0,0.0
7101.0,1,2,-1.0,-1.0,1.0,0.3299999999999999,1.0,5.5,1.17,-2.0,-1.0
-7005.0,0,-2,2.0,1.0,-2.0,-2.0,-2.67,-3.5,-5.5,2.0,2.0
-4079.0,0,0,1.0,0.0,1.5,-5.33,-4.5,1.67,1.0,-1.0,0.0
2502.0,0,-1,1.0,0.0,1.0,2.67,-1.0,2.5,2.0,0.0,0.0
2876.0,1,-2,2.0,1.0,1.0699999999999998,1.67,2.0,2.5,5.0,-1.0,1.0
12721.0,1,1,-2.0,-5.0,5.71,2.67,5.0,4.7,3.75,0.0,-1.0
-6739.0,1,-2,0.0,0.0,0.3299999999999999,-8.5,-1.0,-4.1,-9.5,0.0,1.0
-3679.0,0,-2,1.0,0.0,-2.33,-6.5,-1.17,-10.2,2.0,0.0,0.0
-978.0,1,0,1.0,2.0,4.0,5.0,6.67,1.75,11.0,2.0,-1.0
2688.0,1,2,2.0,1.0,-3.0,2.0,2.0,2.83,7.75,2.0,1.0
-801.0,0,0,1.0,0.0,-1.0,-2.5,2.0,-5.75,-7.33,2.0,1.0
-4830.0,0,-1,-1.0,1.0,-4.75,-1.0,-3.67,-3.0,-2.0,2.0,-2.0
-12182.0,0,-1,1.0,3.0,-6.0,-7.0,-5.25,-4.17,-10.6,-1.0,0.0
-5395.0,0,-2,1.0,1.0,-1.0,-2.5,0.1999999999999999,1.5,1.05,1.0,0.0
-2078.0,1,0,2.0,1.0,-1.0,1.34,-2.0,1.0,6.0,0.0,0.0
5445.0,1,0,-1.0,0.0,1.0,2.25,7.67,4.0,2.25,1.0,1.0
-60.0,1,0,2.0,1.0,5.0,0.0,-1.0,0.5,-1.83,-2.0,1.0
-5456.0,1,-2,-1.0,2.0,-9.0,-6.0,0.5,4.5,5.5,1.0,0.0
3936.0,1,2,0.0,-1.0,-0.6699999999999999,4.5,4.0,-8.57,0.0,-1.0,2.0
1913.0,1,2,2.0,0.0,0.5,-3.0,-2.5,2.0,-1.67,0.0,1.0
2674.0,1,0,-1.0,-1.0,-3.5,-8.0,-0.8300000000000001,-4.0,1.0,-2.0,0.0
801.0,0,1,-2.0,0.0,-6.0,6.5,2.0,2.83,7.0,-2.0,1.0
-1952.0,0,-2,-1.0,-1.0,-0.5,1.25,-2.75,2.0,5.5,-1.0,0.0
4333.0,1,1,-1.0,0.0,1.5,-1.25,-0.25,10.8,-2.0,0.0,-1.0
