top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,top_blue_lane,top_blue_role,top_red_lane,top_red_role,jung_blue_lane,jung_blue_role,jung_red_lane,jung_red_role,mid_blue_lane,mid_blue_role,mid_red_lane,mid_red_role,ad_blue_lane,ad_blue_role,ad_red_lane,ad_red_role,support_blue_lane,support_blue_role,support_red_lane,support_red_role,score_blue,score_red,score_blue_role,score_red_role
Zilean,Alistar,Karthus,Viego,Akshan,Viktor,Ashe,Veigar,Leona,Rammus,4202.0,blue,1,-1.0,0.0,1.6,2.0,-3.0,8.67,7.0,mid,Support,support,Tank,jungle,Mage,jungle,Assassin,top,Marksman,mid,Mage,adc,Marksman,mid,Mage,support,Tank,jungle,Tank,3.0,2.0,4.0,3.0
Mordekaiser,Lee Sin,Sejuani,Diana,Gangplank,Malzahar,Zeri,Milio,Yuumi,Jinx,5166.0,blue,2,2.0,-1.0,3.0,-1.0,3.0,0.9999999999999999,4.33,top,Fighter,jungle,Fighter,jungle,Tank,jungle,Fighter,top,Fighter,mid,Mage,adc,Marksman,support,Support,support,Support,adc,Marksman,4.0,2.0,4.0,4.0
Sett,Renekton,Kha'Zix,Viego,Galio,Sylas,Kai'Sa,Xayah,Pyke,Lulu,7929.0,blue,2,2.0,-1.0,0.33999999999999986,2.4,6.5,0.8300000000000001,6.5,top,Fighter,top,Fighter,jungle,Assassin,jungle,Assassin,mid,Tank,top,Mage,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,4.0,5.0,5.0
Vayne,Poppy,Maokai,Viego,Qiyana,Syndra,Ziggs,Aphelios,Rakan,Janna,4729.0,blue,1,1.0,-3.0,0.5,5.0,1.0,-3.0,-1.0,top,Marksman,top,Tank,top,Tank,jungle,Assassin,mid,Assassin,mid,Mage,mid,Mage,adc,Marksman,support,Support,support,Support,3.0,5.0,5.0,5.0
Gangplank,Tryndamere,Lillia,Vi,Yone,Zoe,Aphelios,Jinx,Morgana,Lulu,4831.0,blue,-1,-2.0,0.0,5.0,7.0,-0.5,1.17,2.17,top,Fighter,top,Fighter,jungle,Fighter,jungle,Fighter,top,Assassin,mid,Mage,adc,Marksman,adc,Marksman,support,Mage,support,Support,4.0,5.0,4.0,4.0
Renekton,Malphite,Rengar,Kha'Zix,Katarina,Gragas,Zeri,Varus,Annie,Renata Glasc,13167.0,blue,2,-1.0,-2.0,3.67,8.0,14.0,11.86,10.8,top,Fighter,top,Tank,top,Assassin,jungle,Assassin,mid,Assassin,top,Fighter,adc,Marksman,mid,Marksman,mid,Mage,support,Support,3.0,3.0,4.0,5.0
Malphite,Sylas,Pantheon,Yone,Akali,Yasuo,Ezreal,Sejuani,Sona,Rell,12477.0,blue,-1,-2.0,-1.0,14.33,2.67,15.71,2.17,5.29,top,Tank,top,Mage,top,Fighter,top,Assassin,top,Assassin,top,Fighter,adc,Marksman,jungle,Tank,support,Support,support,Tank,3.0,2.0,5.0,4.0
Malphite,Kled,Rengar,Kha'Zix,Yasuo,Sylas,Varus,Jinx,Sona,Rakan,-3018.0,red,-2,0.0,0.0,0.0,-8.67,-3.1,-3.67,-3.0,top,Tank,top,Fighter,top,Assassin,jungle,Assassin,top,Fighter,top,Mage,mid,Marksman,adc,Marksman,support,Support,support,Support,2.0,4.0,5.0,5.0
Malphite,Anivia,Lillia,Jax,Qiyana,Sion,Tristana,Twitch,Bard,Seraphine,310.0,blue,-2,-1.0,1.0,-1.67,1.33,2.0,6.0,10.67,top,Tank,mid,Mage,jungle,Fighter,top,Fighter,mid,Assassin,top,Tank,mid,Marksman,adc,Marksman,support,Support,adc,Mage,4.0,1.0,5.0,4.0
Mordekaiser,Illaoi,Zilean,Talon,Ahri,Ekko,Jinx,Kai'Sa,Nocturne,Janna,-8129.0,red,-2,0.0,0.0,4.0,-7.0,-6.67,-5.0,-9.25,top,Fighter,top,Fighter,mid,Support,jungle,Assassin,mid,Mage,jungle,Assassin,adc,Marksman,adc,Marksman,jungle,Assassin,support,Support,3.0,4.0,5.0,4.0
Shen,Nasus,Kindred,Jarvan IV,Vladimir,Ahri,Ezreal,Caitlyn,Zilean,Shaco,-4630.0,blue,0,1.0,1.0,3.0,-0.57,3.75,-4.67,-6.5,top,Tank,top,Fighter,jungle,Marksman,jungle,Tank,top,Mage,mid,Mage,adc,Marksman,adc,Marksman,mid,Support,jungle,Assassin,3.0,4.0,4.0,5.0
Volibear,Fiora,Ekko,Karthus,LeBlanc,Galio,Jinx,Ashe,Milio,Soraka,4775.0,blue,2,0.0,-1.0,-1.0,2.5,2.0,2.0,4.0,top,Fighter,top,Fighter,jungle,Assassin,jungle,Mage,mid,Assassin,mid,Tank,adc,Marksman,adc,Marksman,support,Support,support,Support,5.0,5.0,4.0,5.0
Katarina,Olaf,Jarvan IV,Pantheon,Vayne,Akali,Aphelios,Ziggs,Miss Fortune,Blitzcrank,-4176.0,blue,0,-1.0,3.0,-1.0,-1.5,0.0,-0.75,-2.47,mid,Assassin,top,Fighter,jungle,Tank,top,Fighter,top,Marksman,top,Assassin,adc,Marksman,mid,Mage,adc,Marksman,support,Tank,2.0,2.0,3.0,4.0
