,gold_difference,team_win,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp
955,7016.0,1,-1.0,-1.0,0.0,-1.0,2.67,5.38,6.17
956,3104.0,0,1.0,-1.0,2.4,2.5,-0.5,-2.5,-1.83
957,-10025.0,0,1.0,3.0,-3.0,-10.75,-2.5,-0.92,0.5999999999999999
958,-165.0,1,-1.0,0.0,-2.33,-3.3,-2.2,3.0,0.0
959,1029.0,0,-2.0,-3.0,-1.0,-4.83,-2.0,-7.75,-1.75
960,3056.0,1,1.0,-1.0,0.0,-0.3500000000000001,-0.8300000000000001,-1.08,-3.0
961,5867.0,1,0.0,-4.0,0.49,7.0,6.6,0.0,0.25
962,4127.0,0,0.0,-1.0,1.5,3.5,-1.0,0.0,-3.0
963,-4015.0,0,1.0,1.0,-0.92,0.33,-1.0,-0.1699999999999999,-2.5
964,-4084.0,0,2.0,1.0,-4.0,-6.67,-1.2,-2.5,-0.6699999999999999
965,-1844.0,0,2.0,0.0,-2.5,-10.6,0.0,0.3500000000000001,1.33
966,2946.0,1,1.0,0.0,3.8,5.0,-0.5,0.0,3.0
967,3170.0,1,0.0,-2.0,0.0,-1.5,1.5,7.0,4.5
968,-8930.0,0,1.0,1.0,-1.0,-5.5,-5.67,-6.0,-8.8
969,-2704.0,0,-1.0,1.0,-0.1699999999999999,2.67,-3.67,3.5,-1.0
970,757.0,1,-2.0,-1.0,-1.0,4.0,-0.83,4.9,0.8600000000000001
971,7550.0,0,1.0,-1.0,2.5,3.0,3.0,5.5,1.67
972,-4263.0,0,2.0,0.0,1.0,1.0,-4.67,1.11,-0.5
973,-2520.0,0,1.0,0.0,0.5,-0.33,0.0,-2.25,1.17
974,4395.0,1,-2.0,0.0,0.0,9.5,3.5,2.6,6.5
975,2131.0,1,-1.0,-1.0,5.0,-2.0,-7.0,1.0,2.0
976,4787.0,1,-1.0,-1.0,0.0,-1.5,4.0,1.0,3.33
977,6299.0,1,-1.0,-1.0,3.71,2.0,3.67,0.4199999999999999,-3.0
