link,top_blue,top_red,jung_blue,jung_red,mid_blue,mid_red,ad_blue,ad_red,support_blue,support_red,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,gold_difference,turret_blue,turret_red,dragon_blue,dragon_red,blue_heralds,red_heralds,team_win
/match/tr/1401343505,Dr. Mundo,Cho'Gath,Master Yi,Shyvana,Veigar,Katarina,Sivir,Aphelios,Zyra,Nami,2.0,0.67,4.0,0.5,0.0,6.0,2.5,2.33,0.75,1.33,-414.0,0.0,1.0,1.0,1.0,2,0,red
/match/tr/1401339811,Pantheon,Gangplank,Vi,Jarvan IV,Akshan,Vladimir,Caitlyn,Zeri,Lux,Yuumi,1.0,1.0,2.0,2.0,5.0,0.25,3.0,1.0,9.0,1.67,4804.0,0.0,1.0,0.0,0.0,2,0,red
/match/tr/1401329696,Yone,Jax,Graves,Hecarim,Twisted Fate,Qiyana,Twitch,Blitzcrank,Janna,Kai'Sa,0.6,2.0,3.0,3.0,9.0,2.5,2.67,2.33,2.25,2.33,-2213.0,0.0,0.0,1.0,1.0,0,1,blue
/match/tr/1403517675,Shen,LeBlanc,Fiddlesticks,Elise,Aurelion Sol,Draven,Jhin,Irelia,Senna,Alistar,1.0,6.0,1.75,8.0,1.2,4.5,0.33,6.0,2.33,4.67,-9849.0,2.0,0.0,1.0,1.0,0,2,red
/match/tr/1403507639,Gragas,K'Sante,Ekko,Sylas,Irelia,Zeri,Tristana,Talon,Lulu,Anivia,2.0,0.5,1.67,3.0,0.33,7.0,1.0,6.0,2.0,1.0,-3702.0,1.0,0.0,1.0,0.0,0,2,red
/match/tr/1403505617,Lulu,Sylas,Akshan,Rek'Sai,Kai'Sa,Kalista,Vi,Riven,Cho'Gath,Draven,9.0,0.5,9.0,0.25,3.0,0.67,10.0,0.33,0.67,1.0,8945.0,0.0,2.0,0.0,2.0,1,0,blue
/match/tr/1403496580,Gwen,K'Sante,Viego,Elise,Sion,Veigar,Twitch,Ezreal,Milio,Thresh,1.0,1.67,3.0,0.33,6.0,0.0,7.0,1.0,6.0,0.33,5558.0,0.0,1.0,0.0,2.0,1,0,blue
/match/tr/1403488985,Darius,Shen,Talon,Viego,Ekko,Zed,Kai'Sa,Ezreal,Yuumi,Senna,4.0,0.33,3.0,1.33,1.0,4.0,3.5,1.67,9.0,1.25,3619.0,0.0,1.0,0.0,1.0,0,2,blue
/match/tr/1403708428,Darius,Urgot,Bel'Veth,Master Yi,Vladimir,Seraphine,Kalista,Jhin,Thresh,Blitzcrank,5.0,0.5,1.2,3.67,0.5,5.0,3.0,1.25,2.0,2.33,-366.0,1.0,1.0,1.0,0.0,2,0,red
/match/tr/1403706733,Nasus,Galio,Master Yi,Kayn,Zed,Yorick,Vayne,Xayah,Thresh,Milio,0.0,4.0,4.5,1.33,1.0,1.5,0.8,9.0,1.67,1.75,-3218.0,2.0,0.0,2.0,0.0,2,0,red
/match/tr/1403702763,Syndra,Malphite,Jarvan IV,Kha'Zix,Sion,Orianna,Caitlyn,Jinx,Karma,Milio,3.0,0.0,5.0,1.0,0.0,1.0,0.75,3.0,1.0,6.0,-1646.0,0.0,0.0,1.0,1.0,1,1,blue
/match/tr/1403700997,Quinn,Malphite,Kha'Zix,Nidalee,Irelia,Zed,Caitlyn,Xayah,Lux,Senna,0.25,4.0,1.0,7.0,0.5,4.0,2.0,2.0,1.5,2.0,-1018.0,0.0,1.0,1.0,0.0,1,1,red
