gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role,win_score_difference
-2734.0,0,-2,1.0,1.0,2.67,-0.5,0.33,-6.0,0.5,0.0,0.0,-12.759999999999993
-8435.0,0,-1,1.0,1.0,0.0,-7.0,-2.5,-4.0,-3.8,-1.0,0.0,-6.899999999999984
2538.0,1,0,-1.0,-1.0,-0.6699999999999999,-7.75,1.17,6.6,2.5,0.0,1.0,11.739999999999988
-3742.0,0,2,1.0,-1.0,-2.5,-7.5,-5.0,-6.75,-5.67,1.0,0.0,-5.289999999999985
-4263.0,0,-2,2.0,1.0,2.33,-0.75,-4.0,1.5,2.0,0.0,2.0,4.339999999999996
5602.0,1,2,0.0,0.0,3.75,0.5,9.67,5.0,-1.5,0.0,0.0,7.070000000000022
2830.0,1,-2,-1.0,0.0,1.67,0.5,2.75,3.4,10.33,-4.0,-2.0,-24.10999999999997
4787.0,1,2,-2.0,-1.0,-0.6699999999999999,3.0,3.5,3.5,1.5,-1.0,1.0,2.02999999999998
2112.0,1,2,2.0,-1.0,-1.9,10.0,2.5,1.0,-0.1999999999999999,0.0,-1.0,-34.469999999999985
6132.0,1,2,0.0,-1.0,3.75,3.4,7.5,1.8,3.5,-2.0,-1.0,7.099999999999966
-350.0,0,0,1.0,0.0,0.5,0.0,-2.5,-2.5,-2.0,0.0,1.0,3.8499999999999934
2275.0,0,2,-1.0,-1.0,-1.33,-2.83,1.5,0.8300000000000001,-5.67,-1.0,-2.0,-10.200000000000005
-210.0,1,2,-1.0,-1.0,0.8300000000000001,0.33,3.0,4.67,2.16,1.0,-1.0,-28.03999999999997
5070.0,1,2,-1.0,-2.0,5.0,-1.0,3.0,-5.67,-2.67,-1.0,0.0,18.269999999999968
4601.0,1,2,-2.0,0.0,0.0,3.67,4.0,3.0,5.5,-1.0,2.0,4.860000000000007
-3562.0,0,-2,-1.0,1.0,-1.67,-5.8,-1.0,-1.33,3.67,0.0,-1.0,12.490000000000002
1167.0,0,0,2.0,0.0,0.0,3.0,-4.0,6.0,2.5,1.0,1.0,13.350000000000035
7453.0,1,1,-1.0,-1.0,3.67,5.0,3.0,4.83,5.75,1.0,-1.0,6.869999999999997
-8333.0,0,-2,-1.0,2.0,-2.67,-1.5,-3.1,-4.1,-6.5,0.0,-1.0,2.410000000000004
-12220.0,0,-1,2.0,2.0,-4.0,-10.8,-7.0,-3.5,-4.5,-2.0,0.0,8.579999999999963
1630.0,0,2,1.0,-1.0,3.9,8.67,1.0,-1.33,0.1699999999999999,-1.0,1.0,8.990000000000016
-10756.0,0,-2,0.0,1.0,0.33,-8.4,-10.33,-6.5,-4.25,4.0,1.0,19.30000000000001
982.0,1,2,-1.0,0.0,1.33,-3.7,1.0,-3.0,3.0,0.0,0.0,-8.580000000000005
9184.0,1,1,-1.0,-1.0,1.25,2.05,5.0,6.0,12.38,-2.0,-1.0,5.410000000000004
7500.0,1,2,-1.0,-1.0,2.5,8.0,7.0,4.5,1.5,0.0,-1.0,3.9299999999999855
-6355.0,0,-2,2.0,1.0,1.42,-6.67,-5.67,-5.0,-7.0,1.0,1.0,-6.420000000000009
971.0,1,-2,0.0,1.0,-4.67,-1.0,2.0,7.8,2.0,-1.0,2.0,11.890000000000017
-7425.0,0,-2,2.0,1.0,0.0,-4.33,-2.0,-8.5,-1.0,2.0,0.0,-7.769999999999989
5558.0,1,-1,2.0,0.0,1.0,2.0,4.5,3.33,2.0,-1.0,1.0,0.6299999999999883
-3508.0,0,-2,2.0,0.0,-0.25,-3.5,0.33,-1.33,-0.25,-1.0,1.0,7.709999999999987
-7449.0,0,-2,-1.0,0.0,-3.0,-3.0,-1.83,-1.33,-2.0,1.0,1.0,7.25999999999997
2317.0,1,2,1.0,-2.0,8.0,1.0,2.5,-0.25,3.0,1.0,-1.0,-4.189999999999998
-4472.0,0,-2,2.0,2.0,0.8300000000000001,-1.0,-4.0,-6.67,-2.0,-2.0,-1.0,2.9500000000000384
-391.0,1,-2,0.0,0.0,-6.0,1.5,-1.17,2.5,6.4,1.0,-1.0,51.13999999999999
-7583.0,0,0,-1.0,2.0,-4.1,-8.33,-3.83,0.0,0.0,-2.0,0.0,0.6700000000000159
-4456.0,0,0,2.0,1.0,-1.5,-2.0,-2.0,-2.5,-1.0,0.0,1.0,-15.939999999999957
-6347.0,0,-2,-1.0,1.0,-4.0,-0.8300000000000001,-0.5,2.0,-1.0,1.0,1.0,4.289999999999949
-4192.0,0,0,0.0,1.0,-1.0,-3.2,-3.0,-4.67,-1.5,1.0,0.0,-7.949999999999989
2439.0,1,-2,-2.0,1.0,0.5,-1.0,0.0,0.0,0.0,3.0,1.0,-8.02000000000001
-9083.0,0,-2,2.0,3.0,-2.0,-4.33,5.0,-1.33,-13.5,-2.0,0.0,-34.180000000000014
-137.0,0,0,1.0,-2.0,0.75,-8.2,-3.0,-5.33,-7.0,1.0,0.0,0.1499999999999772
-4425.0,0,0,-1.0,2.0,0.0,-4.5,-4.0,-7.0,-6.67,-3.0,0.0,-15.529999999999994
-3137.0,0,-2,0.0,0.0,-3.5,-2.25,0.6699999999999999,-5.33,2.0,1.0,0.0,19.12999999999997
-2215.0,1,1,-2.0,0.0,-1.08,-1.5,-2.0,0.0,-2.0,0.0,0.0,25.83999999999999
-1398.0,0,0,1.0,0.0,0.08,-1.0,-1.0,1.0,-1.0,0.0,0.0,-31.75
-2234.0,0,1,2.0,0.0,-1.5,2.5,-0.8300000000000001,0.5,3.5,1.0,0.0,-5.3500000000000085
-4141.0,1,1,2.0,0.0,1.0,-9.2,-2.0,-8.6,-9.5,2.0,0.0,32.34
609.0,1,2,-2.0,-1.0,-0.83,1.33,-3.25,2.33,-2.0,-1.0,-1.0,12.30000000000006
-98.0,0,0,2.0,0.0,1.5,1.0,-0.25,3.0,3.0,-1.0,2.0,11.070000000000007
240.0,1,2,1.0,-1.0,-0.92,3.67,2.67,-1.15,-3.0,-1.0,-1.0,-46.06999999999999
-4420.0,0,0,0.0,1.0,0.5,2.0,-1.0,-1.33,1.5,1.0,0.0,2.180000000000007
-4219.0,0,2,2.0,0.0,-4.0,-3.5,1.0,-6.0,-2.0,3.0,0.0,-6.1200000000000045
7630.0,1,1,-2.0,-2.0,-1.0,4.67,6.33,9.43,2.25,-2.0,0.0,6.749999999999993
-5134.0,1,-1,-1.0,1.0,-7.5,-4.5,-7.0,2.0,-7.0,0.0,1.0,-13.430000000000009
-4531.0,1,0,0.0,1.0,-2.67,-4.0,-4.0,-0.5,-0.75,2.0,0.0,10.29
-6485.0,1,0,1.0,1.0,-2.0,-4.0,-2.5,-3.0,-2.0,2.0,1.0,1.0600000000000378
-10023.0,0,-1,1.0,3.0,-3.33,-4.33,-4.0,-4.0,-2.5,2.0,0.0,47.00000000000006
-5654.0,0,1,0.0,0.0,-2.25,1.35,2.5,-0.33,-4.5,0.0,0.0,-2.729999999999997
2641.0,1,2,-1.0,0.0,0.0,0.0,4.8,-2.5,1.0,2.0,0.0,-3.520000000000003
-3560.0,1,2,-2.0,0.0,-0.53,3.7,-3.75,-2.83,-2.0,3.0,2.0,81.57000000000002
1197.0,1,2,0.0,0.0,1.0,0.1699999999999999,-0.5,0.0,-3.33,0.0,1.0,-2.4700000000000344
2513.0,0,2,1.0,-1.0,7.8,3.0,3.5,-2.4,-7.75,-3.0,0.0,-21.81000000000001
-4883.0,0,-2,0.0,2.0,-1.5,-1.25,-5.0,-3.67,0.33,-1.0,-1.0,-18.61
-5553.0,0,0,2.0,0.0,-1.0,-1.0,-2.5,-2.0,-5.0,-1.0,-1.0,-0.960000000000008
-8874.0,0,-2,1.0,1.0,-5.0,-4.0,0.0,-5.67,-2.13,-1.0,-1.0,38.69999999999999
-3011.0,0,-1,1.0,-1.0,-0.33,-1.33,1.0,-0.3999999999999999,4.0,0.0,0.0,-2.9800000000000253
-8288.0,1,-2,2.0,2.0,-2.67,-5.33,-2.0,-6.33,-7.5,-2.0,0.0,4.889999999999979
6571.0,1,2,1.0,-1.0,4.67,1.25,3.5,0.6499999999999999,-2.5,-1.0,1.0,16.02000000000001
3546.0,1,1,1.0,0.0,2.33,0.6600000000000001,3.33,1.5,4.33,2.0,1.0,37.64000000000003
6066.0,1,2,-1.0,-1.0,-5.67,1.75,-1.5,7.0,6.0,2.0,-1.0,0.8000000000000256
