link,gold_difference_at_20_minutes,turret_difference_at_20_minutes,dragon_difference_at_20_minutes,Team_Win,kda_top_blue,kda_top_red,kda_jungle_blue,kda_jungle_red,kda_mid_blue,kda_mid_red,kda_ad_blue,kda_ad_red,kda_sp_blue,kda_sp_red,herald_difference_at_20_minutes
/match/eune/3358869505,-1194.0,-2.0,-1.0,red,1.33,3.0,2.5,1.8,5.0,1.67,1.43,2.2,1.25,6.0,-1
/match/eune/3358857047,-3205.0,-2.0,-2.0,red,0.5,1.0,1.25,4.0,2.25,1.0,2.25,2.75,1.57,1.57,2
/match/eune/3358839031,-1654.0,3.0,-3.0,red,3.5,0.6,1.33,10.0,1.2,1.0,0.67,2.75,0.67,8.0,-1
/match/eune/3358839859,-3831.0,-3.0,1.0,red,1.0,5.0,4.0,1.0,1.0,2.25,1.8,1.4,2.33,2.67,-1
/match/eune/3358831963,-2554.0,0.0,0.0,blue,9.0,2.75,1.0,9.0,1.0,0.75,0.5,3.67,2.67,6.0,0
/match/eune/3358838413,1610.0,-2.0,2.0,blue,3.0,0.4,4.67,2.5,4.5,1.33,4.5,1.5,3.0,2.0,0
/match/eune/3358838299,-2030.0,0.0,2.0,red,0.4,5.0,5.0,5.5,5.0,3.0,2.5,1.33,3.0,1.5,-2
/match/eune/3358824453,-4479.0,0.0,-2.0,red,0.8,0.5,1.4,6.5,1.5,3.5,0.8,4.5,3.0,4.0,-2
/match/eune/3358820450,-390.0,-1.0,0.0,blue,0.83,0.8,4.67,3.33,1.6,1.5,1.75,3.33,4.5,1.4,2
/match/eune/3358825074,-1022.0,1.0,-1.0,red,2.0,0.0,2.5,2.17,3.0,2.0,1.0,3.2,1.43,4.67,2
/match/eune/3358819413,-5979.0,-2.0,-2.0,red,0.8,1.75,1.5,3.0,0.67,4.0,1.33,0.75,1.5,6.0,-2
/match/eune/3358797830,-2607.0,-1.0,-1.0,red,1.5,0.67,1.6,6.0,4.0,1.5,1.33,2.5,1.17,3.33,2
/match/eune/3358792827,-756.0,1.0,-3.0,red,1.0,0.5,4.33,4.0,2.2,1.8,1.0,1.75,2.0,3.33,2
/match/eune/3358792338,2608.0,1.0,2.0,blue,2.0,6.0,7.0,4.0,1.6,0.75,1.33,1.67,4.0,2.0,0
/match/eune/3358785006,-6834.0,-4.0,-2.0,red,0.33,4.0,1.75,6.0,1.0,13.0,1.5,5.0,0.57,5.0,-2
/match/eune/3358786841,-7382.0,-1.0,-1.0,blue,0.0,12.0,1.29,9.0,1.2,9.0,1.57,4.0,1.33,2.8,0
/match/eune/3358789296,197.0,1.0,1.0,blue,1.5,1.5,2.75,3.5,8.0,1.0,2.0,2.4,1.29,5.5,0
/match/eune/3358783347,2084.0,1.0,0.0,red,1.67,1.33,4.0,4.5,10.0,1.5,9.0,1.67,1.6,1.2,-2
/match/eune/3358779494,-5895.0,-3.0,-3.0,blue,1.0,4.0,2.75,1.33,0.86,3.33,1.25,5.5,1.33,7.0,-2
/match/eune/3358772572,-4633.0,-1.0,-3.0,blue,0.67,8.0,1.2,2.33,1.0,3.33,2.0,7.0,0.67,4.33,-2
/match/eune/3358771476,3657.0,0.0,2.0,blue,5.0,0.4,2.0,2.5,4.0,1.0,3.0,2.0,1.0,4.0,-1
/match/eune/3358772453,-8297.0,-5.0,-2.0,red,0.83,3.33,1.25,8.0,1.0,1.25,8.0,2.25,6.5,1.5,-2
/match/eune/3358742576,-3084.0,0.0,0.0,red,1.33,9.0,1.5,4.0,1.75,1.4,3.0,3.0,3.0,4.0,-2
/match/eune/3358732786,12600.0,5.0,2.0,blue,2.67,0.75,4.5,0.57,4.33,0.67,6.0,0.33,7.0,1.0,1
/match/eune/3358726897,1076.0,1.0,2.0,red,9.0,1.0,7.0,0.8,8.5,0.25,15.0,0.43,1.0,3.0,0
/match/eune/3358733324,10557.0,4.0,1.0,blue,2.0,0.57,9.0,0.8,4.0,0.8,3.25,0.75,14.0,1.67,0
/match/eune/3358731195,6636.0,4.0,0.0,blue,1.67,1.0,8.0,1.67,3.0,0.57,4.0,0.75,12.0,0.75,-2
/match/eune/3358721032,590.0,-1.0,3.0,blue,1.5,2.0,12.0,1.8,2.67,1.25,2.0,1.8,1.5,1.2,2
/match/eune/3358718620,8826.0,4.0,1.0,blue,0.75,1.33,16.0,0.71,2.0,3.0,2.6,1.0,14.0,1.17,-2
/match/eune/3358708857,-6733.0,-1.0,-3.0,red,1.0,2.0,2.67,3.33,0.83,4.5,5.0,4.5,1.0,10.0,-2
/match/eune/3358706925,-1154.0,-2.0,-1.0,red,0.0,1.0,2.0,5.0,0.75,3.33,1.25,2.5,2.5,4.0,0
/match/eune/3358705823,92.0,1.0,0.0,blue,1.14,2.0,2.0,3.0,3.5,0.33,1.5,3.67,1.8,2.2,0
/match/eune/3358695242,-2039.0,-2.0,-3.0,red,0.67,2.67,1.5,8.0,0.78,2.75,7.0,1.33,7.0,3.0,-1
/match/eune/3358689499,4942.0,2.0,1.0,blue,2.0,4.5,1.2,3.0,2.33,4.0,3.0,3.25,2.75,1.33,2
/match/eune/3358685721,-4650.0,1.0,0.0,red,1.8,3.33,1.25,2.33,1.0,5.0,1.5,3.33,2.0,2.2,1
