gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
4577.0,1,0,-1.0,1.0,-2.67,3.2,4.6,11.0,13.75,2.0,2.0
5841.0,1,0,-1.0,-1.0,3.67,6.0,3.33,3.0,2.33,1.0,0.0
-533.0,0,0,2.0,0.0,0.0,1.33,-0.5,3.0,0.0,2.0,1.0
-2250.0,0,-2,2.0,0.0,3.0,-7.5,1.0,-3.0,-7.33,-2.0,-2.0
874.0,1,0,-2.0,0.0,3.0,8.0,5.0,1.55,3.17,1.0,-1.0
-8238.0,0,-2,1.0,2.0,-1.5,0.0,-5.2,-2.33,-2.67,1.0,1.0
11335.0,1,1,-1.0,-2.0,5.8,13.2,1.5,5.0,13.0,0.0,0.0
1479.0,1,0,1.0,0.0,-1.5,1.75,2.0,-5.0,-3.5,0.0,1.0
3870.0,1,2,-1.0,-2.0,4.8,2.33,0.0,-1.17,0.5,0.0,0.0
-4634.0,0,2,1.0,0.0,-2.0,-2.5,-3.0,-3.0,-5.0,1.0,1.0
11316.0,1,1,-2.0,-5.0,6.0,4.0,2.0,7.67,4.75,0.0,0.0
5904.0,1,1,-1.0,-2.0,0.0,3.0,3.0,-5.0,-1.0,0.0,1.0
-7212.0,0,0,2.0,0.0,0.6699999999999999,-3.0,-2.6,-1.0,-3.5,-1.0,0.0
269.0,0,-1,1.0,0.0,4.5,1.5,3.3,0.0,-1.0,2.0,1.0
-8841.0,0,-1,2.0,1.0,-2.17,-5.0,-2.17,-5.67,-2.0,-2.0,-1.0
5784.0,1,2,1.0,-2.0,6.0,8.5,2.9,1.0,0.0,0.0,0.0
-495.0,0,2,1.0,-1.0,2.5,5.33,-0.5,-4.83,-5.67,-2.0,-2.0
-5549.0,0,1,1.0,0.0,-6.0,-10.0,1.5,-8.0,-5.0,2.0,0.0
714.0,0,2,1.0,0.0,1.5,4.5,-1.0,0.5,2.0,2.0,1.0
-4143.0,0,-1,1.0,1.0,-0.33,3.17,1.5,-1.33,-1.83,-2.0,-1.0
-5378.0,0,-2,-1.0,0.0,1.0,-0.7999999999999998,-2.67,-4.0,-2.25,3.0,1.0
-8324.0,0,-2,1.0,3.0,-2.33,0.33,-0.0699999999999998,-3.9,-2.0,0.0,0.0
1907.0,1,2,-1.0,1.0,0.0,4.6,3.75,-0.1999999999999999,3.0,-1.0,0.0
-1175.0,0,2,1.0,0.0,0.5,-2.5,-3.0,-1.33,-7.0,1.0,-1.0
-3335.0,1,0,0.0,1.0,-4.5,1.0,-1.0,2.0,-1.5,1.0,0.0
-205.0,1,0,1.0,0.0,2.5,5.0,-2.0,5.0,2.5,-1.0,1.0
