Unnamed: 0,gold_difference,team_win,herald_difference,dragon_difference,turret_difference,kda_difference_top,kda_difference_jungle,kda_difference_mid,kda_difference_ad,kda_difference_sp,score_lane,score_role
352,-1059.0,0,2,1.0,-1.0,0.0,5.0,-4.5,0.08,0.33,2.0,0.0
2918,-8898.0,0,0,-1.0,2.0,-2.0,-4.0,-5.67,-6.0,-6.0,0.0,1.0
6901,-1368.0,1,0,0.0,1.0,0.33,-2.4,2.0,1.67,7.0,0.0,0.0
5386,2057.0,1,-2,-1.0,0.0,0.0,6.67,0.5,9.0,2.33,-2.0,2.0
8298,6408.0,1,1,1.0,-2.0,1.08,3.25,3.75,0.5,6.33,-3.0,-1.0
9886,1102.0,0,0,2.0,0.0,3.0,-4.0,3.0,-2.0,-2.0,0.0,0.0
82,2631.0,1,1,2.0,-1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0
2265,5433.0,1,0,-1.0,-2.0,-1.83,-6.0,7.6,6.25,0.57,1.0,0.0
2321,4723.0,1,0,0.0,0.0,0.0,2.0,5.67,4.0,-2.0,-1.0,-1.0
7009,3232.0,1,0,-1.0,0.0,-1.0,0.0,3.33,-1.0,6.0,1.0,1.0
8214,11334.0,1,1,-1.0,-2.0,3.0,10.33,6.8,1.0,11.67,0.0,2.0
2273,-2638.0,0,0,1.0,0.0,0.0,-4.25,-3.0,1.5,-1.5,1.0,-1.0
7392,3202.0,1,2,-2.0,-1.0,0.5,7.33,2.5,4.0,5.0,1.0,1.0
8726,4867.0,1,1,-1.0,0.0,0.33,3.33,2.67,-0.08,3.0,0.0,0.0
508,-8837.0,0,-2,1.0,3.0,-4.0,-3.83,-5.5,-5.0,-4.0,0.0,1.0
5169,515.0,0,-2,1.0,1.0,-4.67,-3.0,3.5,0.33,-1.83,1.0,1.0
4315,-4017.0,1,0,-1.0,1.0,-1.0,-2.0,3.0,-2.67,-2.0,0.0,0.0
