sequence_number,team_win,win_prob
3033,0,0.45261942559444307
3034,1,0.7267454704180145
3035,0,0.2267883161097799
3038,1,0.732830640036022
3039,1,0.8129582261804091
3040,0,0.1730486664825442
3044,0,0.020629418963465568
3046,0,0.33781585933915054
3048,1,0.4909288962952416
3051,0,0.19957407929191107
3059,0,0.8025057034563754
3060,0,0.10944931720531847
3062,0,0.2511279089162897
3064,0,0.3732164136867542
3065,0,0.0406428932755173
3072,0,0.04721782050269244
3079,1,0.5969531831895257
3081,0,0.720359150265073
3092,0,0.33685368747145444
3095,0,0.04146869763422214
3102,1,0.9176643484046342
3111,1,0.6620957430041932
3112,0,0.5211120150217696
3124,0,0.15994519834942414
3126,1,0.5794402964581179
3127,1,0.49702537789820356
3128,0,0.3401232735723711
3131,0,0.27115971107602466
3132,1,0.4605681298686538
3134,1,0.2101978756054787
3144,0,0.15834204139566257
3146,0,0.10071100269693462
3150,1,0.5155293909536192
3155,0,0.02030748274505407
3161,1,0.9171574076469214
3182,0,0.33418672796305504
3185,1,0.8054472660882203
3188,1,0.9739434903325203
3195,0,0.40588731400028544
3205,0,0.2779973341496881
3207,0,0.0914541692022505
3208,0,0.10057020410790281
3209,0,0.1366684548418981
3211,0,0.12850628769623804
3232,0,0.6005222077372204
3236,1,0.34553851995328594
3239,1,0.9193188613385362
3246,1,0.3883358155671986
3252,0,0.5162861750804888
3258,1,0.6045748588573724
3264,1,0.8250840018155827
3266,0,0.37438246169584743
3273,1,0.9558961258337073
3275,1,0.46725265822889794
3282,1,0.8269021148921748
3283,0,0.7596741981599257
3285,0,0.09055415338484353
3289,0,0.15551764272915256
3291,0,0.17507977637286637
3300,1,0.22944740538425287
3306,0,0.4220128002617326
3310,1,0.43517438699613115
3313,1,0.9396288246640506
3315,0,0.05250712923211896
3316,0,0.7467099454344441
3317,0,0.06639089475678506
3318,0,0.24744071114249117
3320,0,0.1373322810590552
3321,1,0.8008140395337899
3326,1,0.6942386172958896
3335,0,0.14317388522102306
3338,0,0.48015839876967903
3339,0,0.4550982575107023
3351,0,0.23141736354272016
3352,1,0.9079460504112753
3354,0,0.5443998392410573
3356,1,0.7796168921076781
3371,0,0.0125979740473241
3376,1,0.578244883285356
3379,0,0.04191462569398069
3380,0,0.09510385814868369
3383,1,0.8178879413286527
3384,0,0.9095408462537973
3388,1,0.6389270738207655
3393,0,0.09430829438800813
3394,1,0.9419634503027934
3397,0,0.5349692137223779
3400,1,0.7560585725360278
3401,0,0.17142836820955887
3405,0,0.18330306727699894
3406,0,0.15240138765153038
3412,1,0.8819092014641344
3423,1,0.5594264567763672
3425,0,0.7866153666910392
3430,0,0.5072502116345902
3435,1,0.964190406016136
3439,1,0.5269172171339269
3444,1,0.496371710294617
3449,1,0.7457171745103177
3456,0,0.02981523207113387
3458,0,0.10277822783914095
3459,1,0.9673504538276848
3460,1,0.7654198234542241
3464,0,0.19848947713512188
3465,1,0.6912628430784878
3468,0,0.6027435097151448
3483,1,0.8170896928000073
3486,1,0.8745133411309107
3488,0,0.5532194830775102
3498,0,0.018150604375965097
3503,0,0.3810511826410389
3519,0,0.7394946912640449
3521,0,0.5230955170971683
3523,1,0.9421459399227015
3525,0,0.5573323518023878
3529,0,0.15713810731209604
3530,1,0.917124563009909
3534,1,0.3762387550680644
3536,0,0.5848966592268363
3539,0,0.6467033120553234
3542,1,0.8766387450455092
3543,1,0.13167488666095226
3544,0,0.49242788967565154
3549,0,0.6612838881571842
3551,0,0.03459163148791036
3556,0,0.030800680038260815
3567,1,0.5748010188221719
3575,0,0.041228552230671046
3579,0,0.6171346751655129
3583,0,0.21661202938771576
3596,1,0.9515856866148047
3602,0,0.43638350654109553
3603,1,0.7766016368840155
3615,1,0.9788234155585193
3621,0,0.11727680502273052
3622,1,0.6804267992568348
3626,1,0.8624059963131196
3640,0,0.8525970065031708
3647,0,0.14319585324225062
3648,0,0.05411132756007059
3652,1,0.4834293551444439
3654,1,0.4227718772106729
3657,1,0.9846078523361085
3662,1,0.9086072087794361
3678,0,0.45945381896701637
3681,0,0.12525491069311664
3686,1,0.9069247339156764
3687,0,0.4419910946166339
3699,0,0.24097731224300536
3704,0,0.07597711690362377
3707,0,0.5515611638659529
3709,1,0.5031891853282529
3721,1,0.4790789424124017
3729,0,0.6242187573509324
3740,0,0.09642367534154327
3743,0,0.08860958170395426
3747,1,0.5565351503963017
3750,0,0.06355184206513652
3768,0,0.2618638476289915
3769,1,0.7617935574080124
3774,1,0.4890454673639236
3777,0,0.17977078885832445
3778,0,0.15646717589727147
3781,0,0.5354670636840296
3782,1,0.65071515194007
3785,1,0.9520178344424721
3786,0,0.5337811076269653
3795,0,0.5360987804355376
3800,0,0.22130061954067687
3839,1,0.9272641071353044
3843,0,0.6994404269523414
3847,1,0.7032856600079933
3854,0,0.2383727072905534
3856,0,0.3672117082738369
3860,0,0.027370938538351066
3870,0,0.23298103705310028
3880,0,0.32115586820798464
3881,1,0.7980829725694272
3884,1,0.9148327888471758
3888,0,0.07493510888652323
3895,0,0.014785593097734947
3904,0,0.2262952642743346
3906,0,0.10696914561585726
3934,0,0.540698792445809
3942,0,0.4272749166235365
3943,1,0.251328694383652
3946,0,0.3075489435111535
3950,1,0.49152091374437834
3974,0,0.11504700724220862
3985,1,0.8932030473749482
3990,0,0.6776351034613535
3993,0,0.09245036315443775
3995,0,0.27673055788192025
3996,0,0.24315280034990855
4004,0,0.29473113759446584
4005,0,0.3582356691842728
4008,1,0.2563995778399725
4013,0,0.6137084736172271
4024,0,0.08448350942498134
4025,1,0.8006954043080796
4030,1,0.9960351569900592
4036,1,0.7459060217114396
4050,0,0.1580915416083209
4053,1,0.8047023086626747
4059,0,0.1090742334195073
4075,0,0.35968158876228074
4076,1,0.36815286599542096
4082,1,0.8696682672899423
4093,0,0.08221901267558283
4095,0,0.6681578778082095
4098,1,0.21526932742830923
4099,0,0.26237669799859814
4101,0,0.15989219196960333
4103,1,0.8011194601278719
4105,0,0.281993401397872
4112,0,0.04742692483255197
4114,1,0.8582073689747333
4116,1,0.8514946659507074
4124,0,0.11936874229746568
4128,0,0.25441697211420183
4130,1,0.2509790154320747
4131,0,0.2146660727019879
4133,1,0.2837351621868832
4140,0,0.486461249358756
4148,1,0.6900571365654847
4150,1,0.5928373628873796
4152,1,0.8967143648906933
4157,1,0.4924192723246858
4158,1,0.14760231938726287
4162,0,0.649517118681336
4166,0,0.1810635757049029
4177,0,0.4980132449498252
4182,0,0.03934365040116606
4185,0,0.28356312147034096
4186,1,0.7279867139455266
4190,0,0.06165835381168078
4192,0,0.37314197739117105
4193,1,0.8595302520685891
4197,0,0.813785033186648
4203,0,0.2786612966659429
4211,0,0.23258101841480583
4223,1,0.37363558520598683
4225,1,0.7331341313517981
4234,1,0.6323800726842469
4238,1,0.025639607474327225
4239,1,0.35181024454717164
4246,0,0.05492920468471168
4247,1,0.7793215880787764
4254,0,0.07233502953506962
4265,0,0.18373815783079941
4268,0,0.10149995478339457
4270,0,0.005127357262803941
4272,1,0.7587210384524239
4276,0,0.23718923760458593
4281,0,0.34198423132323785
4289,0,0.0493426281764921
4295,0,0.1642575322346631
4300,1,0.8550119603972127
4303,1,0.772392869474663
4305,0,0.11788772911536803
4334,0,0.7212140936644099
4338,0,0.08067507463481753
4340,0,0.1801076627901375
4344,1,0.8866076408181588
4345,1,0.7872155182326628
4348,1,0.7997032639696824
4355,1,0.7560116001367825
